,rev_rel,cities,cod_reg,region
0,0.7400764787600821,0.011764705882352941,5.0,Veneto
1,0.2599235212399179,0.9882352941176471,5.0,Veneto
0,0.6177076836878012,0.0163265306122449,8.0,Emilia-Romagna
1,0.38229231631219884,0.9836734693877551,8.0,Emilia-Romagna
0,0.6775289744819474,0.015414258188824663,9.0,Toscana
1,0.3224710255180526,0.9845857418111753,9.0,Toscana
