,cod_reg,Castelli,Chiese,Centri Storici,Bar,Enoteche,Musei,Spiagge,Negozi,Terme,Parchi,Sci e Trekking,Divertimento,Nulla,Nulla+Bar,region
0,1.0,0.09375,0.07880434782608696,0.15760869565217392,0.057065217391304345,0.11548913043478261,0.09103260869565218,0.059782608695652176,0.035326086956521736,0.02309782608695652,0.06793478260869565,0.036684782608695655,0.04619565217391304,0.13722826086956522,0.19429347826086957,Piemonte
0,2.0,0.13559322033898305,0.03389830508474576,0.1016949152542373,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.15254237288135594,0.01694915254237288,0.03389830508474576,0.11864406779661017,0.1864406779661017,0.01694915254237288,0.11864406779661017,0.15254237288135594,Valle D'Aosta
0,3.0,0.05517241379310345,0.035467980295566505,0.17733990147783252,0.11921182266009853,0.030541871921182268,0.060098522167487685,0.07389162561576355,0.04630541871921182,0.042364532019704436,0.06798029556650247,0.05123152709359606,0.06896551724137931,0.17142857142857143,0.29064039408866993,Lombardia
0,4.0,0.07327586206896551,0.017241379310344827,0.08620689655172414,0.021551724137931036,0.0603448275862069,0.07327586206896551,0.08620689655172414,0.008620689655172414,0.004310344827586207,0.14655172413793102,0.21120689655172414,0.021551724137931036,0.1896551724137931,0.21120689655172414,Trentino-Alto Adige
0,5.0,0.018329938900203666,0.03054989816700611,0.31160896130346233,0.10590631364562118,0.0835030549898167,0.06109979633401222,0.05091649694501019,0.04073319755600815,0.024439918533604887,0.07535641547861507,0.04073319755600815,0.034623217922606926,0.12219959266802444,0.22810590631364563,Veneto
0,6.0,0.01,0.045,0.44,0.02,0.12,0.065,0.03,0.035,0.015,0.095,0.02,0.025,0.08,0.1,Friuli-Venezia Giulia
0,7.0,0.05389221556886228,0.041916167664670656,0.19760479041916168,0.0718562874251497,0.011976047904191617,0.11377245508982035,0.2275449101796407,0.023952095808383235,0.005988023952095809,0.05389221556886228,0.041916167664670656,0.017964071856287425,0.1377245508982036,0.20958083832335328,Liguria
0,8.0,0.08250825082508251,0.019801980198019802,0.26732673267326734,0.07260726072607261,0.052805280528052806,0.1188118811881188,0.052805280528052806,0.026402640264026403,0.033003300330033,0.07920792079207921,0.036303630363036306,0.052805280528052806,0.10561056105610561,0.1782178217821782,Emilia-Romagna
0,9.0,0.029850746268656716,0.022388059701492536,0.2126865671641791,0.033582089552238806,0.13059701492537312,0.07462686567164178,0.1417910447761194,0.022388059701492536,0.041044776119402986,0.07462686567164178,0.029850746268656716,0.018656716417910446,0.16791044776119404,0.20149253731343286,Toscana
0,10.0,0.03488372093023256,0.046511627906976744,0.27906976744186046,0.023255813953488372,0.09302325581395349,0.09302325581395349,0.05813953488372093,0.05813953488372093,0.06976744186046512,0.046511627906976744,0.0,0.023255813953488372,0.1744186046511628,0.19767441860465118,Umbria
0,11.0,0.043010752688172046,0.04838709677419355,0.2903225806451613,0.05913978494623656,0.0913978494623656,0.10752688172043011,0.07526881720430108,0.03763440860215054,0.021505376344086023,0.04838709677419355,0.026881720430107527,0.021505376344086023,0.12903225806451613,0.1881720430107527,Marche
0,12.0,0.06885245901639345,0.05901639344262295,0.33114754098360655,0.06885245901639345,0.022950819672131147,0.06557377049180328,0.06885245901639345,0.029508196721311476,0.013114754098360656,0.05245901639344262,0.03278688524590164,0.019672131147540985,0.16721311475409836,0.2360655737704918,Lazio
0,13.0,0.05185185185185185,0.05555555555555555,0.35185185185185186,0.05925925925925926,0.06666666666666667,0.04814814814814815,0.05925925925925926,0.011111111111111112,0.014814814814814815,0.07777777777777778,0.05925925925925926,0.007407407407407408,0.13703703703703704,0.1962962962962963,Abruzzo
0,14.0,0.13043478260869565,0.17391304347826086,0.2826086956521739,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.043478260869565216,0.03260869565217391,0.010869565217391304,0.05434782608695652,0.05434782608695652,0.010869565217391304,0.07608695652173914,0.09782608695652174,Molise
0,15.0,0.07788944723618091,0.035175879396984924,0.1934673366834171,0.10804020100502512,0.0678391959798995,0.05778894472361809,0.10301507537688442,0.04020100502512563,0.04020100502512563,0.05527638190954774,0.03768844221105527,0.05527638190954774,0.12814070351758794,0.23618090452261306,Campania
0,16.0,0.05106382978723404,0.0425531914893617,0.2936170212765957,0.08085106382978724,0.029787234042553193,0.03829787234042553,0.19148936170212766,0.03829787234042553,0.05106382978723404,0.01276595744680851,0.01276595744680851,0.01276595744680851,0.14468085106382977,0.225531914893617,Puglia
0,17.0,0.08080808080808081,0.10101010101010101,0.2222222222222222,0.06060606060606061,0.020202020202020204,0.09090909090909091,0.10101010101010101,0.020202020202020204,0.010101010101010102,0.030303030303030304,0.020202020202020204,0.030303030303030304,0.21212121212121213,0.2727272727272727,Basilicata
0,18.0,0.039301310043668124,0.034934497816593885,0.2096069868995633,0.08296943231441048,0.017467248908296942,0.10043668122270742,0.22707423580786026,0.03056768558951965,0.008733624454148471,0.07423580786026202,0.021834061135371178,0.021834061135371178,0.13100436681222707,0.21397379912663755,Calabria
0,19.0,0.05245901639344262,0.03278688524590164,0.26557377049180325,0.05245901639344262,0.013114754098360656,0.09508196721311475,0.2,0.01639344262295082,0.022950819672131147,0.04262295081967213,0.02622950819672131,0.036065573770491806,0.14426229508196722,0.19672131147540983,Sicilia
0,20.0,0.024489795918367346,0.044897959183673466,0.16326530612244897,0.02040816326530612,0.024489795918367346,0.11020408163265306,0.27755102040816326,0.02040816326530612,0.0163265306122449,0.07755102040816327,0.00816326530612245,0.0326530612244898,0.17959183673469387,0.19999999999999998,Sardegna
